Comment,Designator,Footprint,JLCPCB Part #（optional）
100nF,"C7,C36,C22,C15,C24,C12,C10,C31,C30,C4",C_0402_1005Metric,C110251
DLP11SN900HL2L,"FL1,FL4,FL5,FL2,FL3",DLP11SA350HL2B,C90762
22uF,C37,C_0603_1608Metric,C59461
1uF,"C14,C27,C9,C21,C16,C17,C1,C3,C23,C11,C35,C29,C20,C19,C6",C_0402_1005Metric,C115046
1000pF,"C8,C2,C5",C_0402_1005Metric,C343059
10K,"R7,R1,R6,R4,R3,R2,R5",R_0402_1005Metric,C60490
4.7uF,"C34,C38,C26,C18,C32,C28,C13,C33,C25",C_0603_1608Metric,C389010
SI2302,"Q1,Q2",SOT-23,C181087
LP5907MFX-1.8,U1,SOT-23-5,C92498
FH12A-22S-0.5SH(55),J1,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,C3168813
LP5907MFX-2.9,U2,SOT-23-5,C2877839
QWIIC_CONNECTORJS-1MM,J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
BLM18KG102SN1D,"FB2,FB3,FB1",L_0603_1608Metric,C160982
22R,R8,R_0402_1005Metric,C325393
DFE201210U-2R2M=P2,L1,L_0805_2012Metric,C2049745
CO22H4-24.000-WPJDTSN,U5,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,C2842194
AP3418KTR-G1,U6,SOT-23-5,C500769
TMP117MAIDRVR,U4,TMP117AIDRVR,C2803242
